title_id,title,complete_title,release_year,rating,rater,casts_slug,screenwriter,director,poster,synopsis,country,type,episodes,aired,aired_on,original_network,duration,score,ranked,popularity,content_rating,watchers
756633-i-feel-you-linger-in-the-air-uncut-version,I Feel You Linger in the Air: Uncut Version,I Feel You Linger in the Air: Uncut Version (2023),2023,8.9,3872,/people/13900-santinatornkul-chanon|/people/62697-bright-rapheephong-thapsuwan|/people/11835-munyadon-kanokchat|/people/121937-june-teeratee-buddeehong|/people/112555-alee-auttharinya-uengsilpsrikul|/people/121935-guide-kantapon-chompupan,Jungjing Wanna Kortunyavat|Somchai Tidsanawoot|Tan Ekarin Mungmee,Tee Bundit Sintanaparadee,https://i.mydramalist.com/d0RdLK_4c.jpg,"Jom is a young architect overseeing the renovation of an old house in Chiang Mai. However, during this project, Jom starts to have strange and frequent dreams about himself and a mysterious man from the past. Soon, Jom faces heartbreak when his boyfriend suddenly decides to end their relationship. In a moment of distress, he drives recklessly and ends up in an accident, plunging into the Ping River. Beyond the natural order of things, Jom emerges from the water to find himself in 1927. There, he encounters the man he dreamed about, Khun Yai, the middle son of the owner of the Plathip Mansion which he'd been renovating. Jom must now adapt to this unfamiliar environment and lifestyle and the challenges of shaping a relationship with Khun Yai, someone to whom he feels deeply connected despite never having met before. (Source: Youku) ~~ Adapted from the novel ""I Feel You Linger in the Air"" (หอมกลิ่นความรัก) by Violet Rain.",Thailand,Drama,12,"Aug 18, 2023 - Nov  3, 2023",Friday,Youku,1 hr. 7 min.,"8.9 (scored by 3,872 users)",100,1762,Not Yet Rated,8741
729833-thai-cave-rescue,Thai Cave Rescue,Thai Cave Rescue (2022),2022,8.7,1127,/people/11842-lerkcharoempoj-papangkorn|/people/110475-tiger-prachya-phathong|/people/110477-pangpond-songphon-kanthawong|/people/110587-fluke-rattapoom-nakeesathid|/people/110505-bank-thanawut-chetuku|/people/110509-pluem-thanaphong-kanthawong,,Baz Nattawut Poonpiriya,https://i.mydramalist.com/wvjy1_4c.jpg,"The Limited Series is based on 2018’s world-famous event. Twelve boys from the same football team decided to spend an afternoon with their coach exploring the Tham Luang caves in northern Thailand. When heavy rainfall flooded the caves and trapped them inside, what was supposed to be a fun excursion turned into a massive international rescue operation that transfixed the world. (Source: Netflix)",Thailand,Drama,6,"Sep 22, 2022",Thursday,Channel 3 Netflix,60 min.,"8.7 (scored by 1,127 users)",222,5029,G - All Ages,2186
24685-project-s-the-series-skate-our-souls,Project S: Skate Our Souls,Project S: Skate Our Souls (2017),2017,8.6,1753,/people/9309-supapunpinyo-teeradon|/people/12246-chansangavej-chayanit|/people/9738-rakkaen-toni|/people/10927-narupornkamol-chaisang|/people/23106-phollawat-manuprasert|/people/75569-jasper-dohrs,Aekaphong Saransate|Meen Tossaphon Riantong|Teerapat Charoenpukdi,,https://i.mydramalist.com/ReywVc.jpg,"Boo, a student whose grades aren't promising, knows well that he falls short of his father's standards. Quietly, Boo has been suffering from depression for a long time.  He doesn't eat or sleep well and has no friends, no one to turn to; he self-harms.  When he finds himself unexpectedly coaxed to try skateboarding, his dispair is momentarily lifted. On the day he first resolves to commit suicide, it's the sight of his expropriated board that pulls him back from the edge. He can't let his father know that he's hanging out with skateboarders, though, nor that he's been skipping school. Can Boo overcome depression without support?(Source: MyDramaList)",Thailand,Drama,8,"Sep  9, 2017 - Nov 25, 2017",Saturday,GMM 25 LINE TV,45 min.,"8.6 (scored by 1,753 users)",380,2776,13+ - Teens 13 or older,5118
23472-bpoop-phaeh-saniwaat,Love Destiny,Love Destiny (2018),2018,8.6,3265,/people/7381-bella-vanita|/people/7166-thanawat-wattanaputi|/people/10841-imanothai-kawin|/people/9847-kannarun-prang|/people/7606-susira-nanna|/people/8024-scott-louis,Salaya Sukanivatt,Mai Phawat Panangkasiri,https://i.mydramalist.com/w2bVgc.jpg,"This is a story where karma, merit, love destiny and a moon mantra combine to fling Kadesurang, a chubby archaeologist, into the body of another woman, Karakade, during the Ayutthaya era (300 years earlier).  In the past, the cruel and selfish Karakade was betrothed to Date, a man who despises her wickedness and prefers a kinder woman. In a fit of jealousy, Karakade tries to kill her rival, but a servant dies instead. While Karakade is suspected, her murderous intentions can’t be confirmed. So Date and his dad perform a sacred ritual to punish the killer. At this pivotal moment, Karakade dies and her spirit is replaced by Kadesurang's.After Kadesurang wakes up in Karakade's body, she is intensly curious to experience the historical context she once studied. Everyone around her is confused. She acts like a completely different person: someone who has forgotten basic manners and speaks strangely, someone who suddenly wants to make merit and cares about those around her. How will the household and Karakade’s fiancé respond to Karakade’s new optimism and responsibility coupled with her odd mannerisms? And how will Kadesurang navigate this patriarchal society swirling with political unrest?(Source: MyDramaList) ~~ Adapted from the novel ""Bupphesanniwat"" (บุพเพสันนิวาส) by Rompaeng (รอมแพง).",Thailand,Drama,15,"Feb 21, 2018 - Apr 11, 2018","Wednesday, Thursday",Channel 3,1 hr. 50 min.,"8.6 (scored by 3,265 users)",405,2034,G - All Ages,7353
27367-the-gifted,The Gifted,The Gifted (2018),2018,8.6,11037,/people/11621-kirdpan-korapat|/people/14259-wachirawit-ruangwiwat|/people/19330-linly-apichaya-thongkham|/people/12638-jiranorraphat-ramida|/people/11699-poonsawas-atthaphan|/people/9746-cheewagaroon-harit,Mook Jarinee Thanomyat|Anawat Promjae|Nontakorn Padpo,,https://i.mydramalist.com/Q53rWc.jpg,"Ritdha Wittayakom High School has a ""Gifted Program."" The program offers special classes to a handful of ""special"" students chosen by the school administration. Incredibly, Pang, a tenth-year student from the lowest academically ranked class, passes the Gifted Program placement test. His entrance to the Gifted Program is filled with much confusion as he and his new friends begin to feel something strange about their new class isn't quite right. They come to learn that the Gifted Program was designed to awaken the ""potentials"" within them, potentials beyond those of ordinary humans. However, as these potentials are discovered, their use begins to expose unanticipated danger. Before long, their new abilities reveal a secret the school's officials were trying to keep hidden. (Source: MyDramaList)~~ Adapted from the novel “The Gifted” (ภารกิจลับ นักเรียนพลังกิฟต์) by SandOtnim/Dhammarong Sermrittirong (ธรรมรงค์ เสริมฤทธิรงค์).",Thailand,Drama,13,"Aug  5, 2018 - Nov  4, 2018",Sunday,LINE TV One 31,55 min.,"8.6 (scored by 11,037 users)",445,559,13+ - Teens 13 or older,25827
30294-luead-khon-kon-jang,In Family We Trust,In Family We Trust (2018),2018,8.5,1054,/people/19260-nappon-gomarachun|/people/77025-patravadi-mejudhon|/people/15480-rungnopakunsi-songsit|/people/10081-tangtong-saksit|/people/15477-mcintosh-kathaleeya|/people/10082-chumpanee-sopitnapa,Ping Kriangkrai Vachiratamporn|Gun Supalerk Ningsanon|Ruthaiwan Wongsirasawat|Meen Tossaphon Riantong|Ham Vasudhorn Piyaromna|Chonlada Tiaosuwan,,https://i.mydramalist.com/24LYPc.jpg,"This suspense drama revolves around the Jiraanans, a wealthy Thai-Chinese family that operates its own hotels in Bangkok and Pattaya. The drama follows the members of the family, which seem to enjoy a strong and unbreakable bond. But things are not what they seem. One day, the eldest member from the second generation mysteriously turns up dead in the family estate. His nephew Yi, the oldest son of the victim’s sister and the prime suspect in the case, desperately tries to find out the truth.(Source: timeout.com)",Thailand,Drama,18,"Sep 14, 2018 - Nov 10, 2018","Friday, Saturday",One 31,60 min.,"8.5 (scored by 1,054 users)",456,3884,13+ - Teens 13 or older,3235
743905-enigma,Enigma,Enigma (2023),2023,8.5,3956,/people/30005-win-metawin-opas-iamkajorn|/people/30767-prim-chanikarn-tangkabodee|/people/30775-ploy-kanyarat-ruangrung|/people/30773-prigkhing-sureeyaret-yakaret|/people/55993-earn-preeyaphat-lorsuwansiri|/people/121583-tammy-manatsanan-wanichsataporn,Mook Jarinee Thanomyat,Pat Thachai Komolphet,https://i.mydramalist.com/kA0688_4c.jpg,"There is something wrong with Fa's high school; strange events have been happening around her. In which way are they related to the new teacher, Ajin?(Source: MyDramaList)",Thailand,Drama,4,"Jul 15, 2023 - Aug  5, 2023",Saturday,Amazon Prime GMM 25,49 min.,"8.5 (scored by 3,956 users)",466,1391,13+ - Teens 13 or older,11375
749823-the-sign,The Sign,The Sign (2023),2023,8.5,6787,/people/39761-billy-patchanon-ounsa-ard|/people/117503-babe-tanatat|/people/125139-tack-phongsakorn-sukiang|/people/125125-poom-nuttapart-tuntistinchai|/people/21495-gap-jakarin-puribhat|/people/33615-surprise-pittikorn-siripornsawan,,A Natthaphong Wongkaweepairod,https://i.mydramalist.com/RBWgjP_4c.jpg,"For as long as Tharn can remember, he's had premonitions about those around him, sensing both the good and the bad. Partners on a team of special investigators, when kind and cheerful Tharn met clever and charming Phaya, it felt as though they'd known each other for a long time. (Source: MyDramaList)~~ Adapted from the novel ""Premonition"" (ลางสังหรณ์) by I-Rain-Yia (ไอเรนเยีย). ~~ Two versions available: 48 min. each (TV) || 61 min. each (uncut online)",Thailand,Drama,12,"Nov 25, 2023 - Feb 11, 2024",Saturday,Channel 3,48 min.,"8.5 (scored by 6,787 users)",575,954,13+ - Teens 13 or older,16578
682595-not-me,Not Me,Not Me (2021),2021,8.5,30212,/people/11699-poonsawas-atthaphan|/people/10535-adulkittiporn-jumpol|/people/14515-wijitwongthong-tanutchai|/people/19084-kanaphan-puitrakul|/people/33521-papang-phromphiriya-thongputtaruk|/people/21409-fluke-gawin-caskey,Noolek Sureechay Kaewses|M Rittikrai Kanjanawiphu,,https://i.mydramalist.com/0kjbY_4c.jpg,"Black and White are twins with a powerful connection. After their parents' separation, though, White’s father took him abroad, and their family effectively severed in two. It isn’t until fifteen years have passed that White—now grown—returns to Thailand.One day, seemingly from nowhere, White feels an agony like death. He recovers in the hospital, but they’re unable to determine the cause. Then he picks up a call from a childhood friend, Tod. Tod tells him that Black is in a coma following a vicious attack, and he learns that Black is in a motorcycle gang. Unable to endure the harm done to his brother in silence, and suspecting it was one of Black’s close friends—Sean, Gram, or Yok—who betrayed him, White disguises himself as Black to root out the traitor.But White doesn’t know his brother as well as he thought; he’s not behaving like the Black Sean knows, distrustful and uncaring about the feelings of others. Sean's suspicious. The difference gets under Sean's skin and makes him feel things he shouldn’t.(Source: adrien at MyDramaList)~~ Adapted loosely from the novel ""NOT ME Dek Thoi Rak Jing"" (NOT ME เด็กถ่อยรักจริง) by ++saisioo++.",Thailand,Drama,14,"Dec 12, 2021 - Mar 20, 2022",Sunday,AIS Play GMM 25,45 min.,"8.5 (scored by 30,212 users)",503,202,13+ - Teens 13 or older,50294
49745-a-tale-of-a-thousand-stars,A Tale of Thousand Stars,A Tale of Thousand Stars (2021),2021,8.5,29755,/people/33823-mix-sahaphap-wongratch|/people/14516-watthanasetsiri-pirapat|/people/19348-aye-sarunchana-apisamaimongkol|/people/14514-arsalprakit-krittanai|/people/22234-khaotung-thanawat-rattanakitpaisan|/people/7909-phumphothingam-nawat,Bee Pongsate Lucksameepong,,https://i.mydramalist.com/jYl8b_4c.jpg,"After a volunteer teacher Torfun dies in a tragic accident, her heart is transplanted into Tian. Tian learns about his donor’s life through a series of diary entries that reveal her secrets and interests. Included is her promise to count a thousand stars with Chief Forest Officer Phupha. Tian decides to follow in Torfun's footsteps and fulfill her promise.  Now a new volunteer teacher himself, Tian attempts to befriend Phupha who initially gives him the cold shoulder. As the two grow steadily closer, Tian notices his new heart beats quickly whenever he's near the officer. Much like the heart’s previous owner, Tian cannot help but fall for Phupha. Treading on  dangerous ground,  can he still go through with the thousand-star promise?(Source: walmartjimin at MyDramaList || Edited by MyDramaList) ~~ Adapted from the novel ""Tale of a Thousand Stars"" (นิทานพันดาว) by Bacteria.",Thailand,Drama,10,"Jan 29, 2021 - Apr  2, 2021",Friday,GMM 25,1 hr. 5 min.,"8.5 (scored by 29,755 users)",524,205,13+ - Teens 13 or older,49894
